Timestamp,Environment,Camera_Count,Resolution,Target_FPS,Motion_Factor,Total_CPU,Core0_CPU,Core1_CPU,Core2_CPU,Core3_CPU,RAM_Used_MB,SoC_Temp,CPU_Freq,Throttled_State,IO_Wait,Actual_FPS,Drops
2026-07-07 14:16:10,unknown,1,160x120,30,0,49.8,59.4,42.9,52.7,43.0,3033.7,55.5,1800.0,throttled=0x0,0.0,0.0,156
2026-07-07 14:16:11,unknown,1,160x120,30,0,26.2,28.6,34.3,19.8,23.1,3022.6,55.02,1800.0,throttled=0x0,0.0,0.0,157
2026-07-07 14:16:12,unknown,1,160x120,30,0,19.5,29.1,15.7,18.9,14.0,3023.0,55.02,1800.0,throttled=0x0,0.0,0.0,158
2026-07-07 14:16:13,unknown,1,160x120,30,0,20.7,31.2,14.4,18.4,18.7,3020.7,54.04,1800.0,throttled=0x0,0.2,0.0,159
2026-07-07 14:16:14,unknown,1,160x120,30,0,26.6,43.5,17.1,23.8,16.2,3020.3,54.53,1800.0,throttled=0x0,0.0,0.0,160
2026-07-07 14:16:15,unknown,1,160x120,30,0,23.8,37.3,18.7,16.0,20.2,3020.3,55.5,1800.0,throttled=0x0,0.0,0.0,161
2026-07-07 14:16:16,unknown,1,160x120,30,0,21.5,27.8,16.3,21.9,21.7,3020.6,55.99,1800.0,throttled=0x0,0.0,0.0,162
2026-07-07 14:16:17,unknown,1,160x120,30,0,18.0,19.1,16.3,21.2,16.3,3020.8,56.48,1800.0,throttled=0x0,0.0,0.0,163
2026-07-07 14:16:18,unknown,1,160x120,30,0,19.9,21.4,24.0,16.8,19.0,3020.9,55.5,1800.0,throttled=0x0,0.0,0.0,164
2026-07-07 14:16:19,unknown,1,160x120,30,0,21.2,23.7,21.4,17.3,18.6,3020.8,55.5,1800.0,throttled=0x0,0.0,0.0,165
2026-07-07 14:16:20,unknown,1,160x120,30,0,19.6,26.7,17.8,20.4,15.5,3020.8,54.53,1800.0,throttled=0x0,0.0,0.0,166
2026-07-07 14:16:21,unknown,1,160x120,30,0,24.6,25.5,25.5,22.9,24.3,3020.8,55.02,1800.0,throttled=0x0,0.0,0.0,167
2026-07-07 14:16:22,unknown,1,160x120,30,0,20.2,25.5,20.6,16.3,17.3,3020.9,55.5,1800.0,throttled=0x0,0.0,0.0,168
2026-07-07 14:16:23,unknown,1,160x120,30,0,19.0,18.4,21.7,22.3,14.0,3020.9,55.5,1800.0,throttled=0x0,0.0,0.0,169
2026-07-07 14:16:24,unknown,1,160x120,30,0,21.0,26.5,20.2,15.2,23.1,3020.9,55.5,1200.0,throttled=0x0,0.2,0.0,170
2026-07-07 14:16:25,unknown,1,160x120,30,0,23.4,30.5,21.2,22.3,19.8,3022.0,54.53,1800.0,throttled=0x0,0.0,0.0,171
2026-07-07 14:16:27,unknown,1,160x120,30,0,20.0,27.7,15.5,19.8,15.4,3022.2,55.02,1800.0,throttled=0x0,0.0,0.0,172
2026-07-07 14:16:28,unknown,1,160x120,30,0,18.4,20.4,21.2,15.5,17.3,3021.9,55.99,1800.0,throttled=0x0,0.0,0.0,173
2026-07-07 14:16:29,unknown,1,160x120,30,0,32.7,33.0,27.9,44.8,25.5,3021.5,55.99,1800.0,throttled=0x0,0.0,0.0,174
2026-07-07 14:16:30,unknown,1,160x120,30,0,20.9,24.7,26.9,14.6,15.7,3021.5,54.04,1100.0,throttled=0x0,0.0,0.0,175
2026-07-07 14:16:31,unknown,1,160x120,30,0,24.2,31.1,24.5,20.6,21.5,3021.5,55.99,1800.0,throttled=0x0,0.0,0.0,176
2026-07-07 14:16:32,unknown,1,160x120,30,0,19.7,21.9,18.4,16.7,22.9,3021.8,55.99,1800.0,throttled=0x0,0.0,0.0,177
2026-07-07 14:16:33,unknown,1,160x120,30,0,25.6,29.9,19.4,26.4,27.6,3022.7,55.99,1800.0,throttled=0x0,0.0,0.0,178
2026-07-07 14:16:34,unknown,1,160x120,30,0,27.8,33.3,26.5,26.7,24.8,3031.1,56.97,1800.0,throttled=0x0,0.0,0.0,179
2026-07-07 14:16:35,unknown,1,160x120,30,0,22.1,23.2,24.5,18.0,21.0,3031.4,55.5,1800.0,throttled=0x0,0.0,0.0,180
2026-07-07 14:16:36,unknown,1,160x120,30,0,25.6,33.0,22.4,23.4,25.9,3032.9,55.99,1800.0,throttled=0x0,0.0,0.0,181
2026-07-07 14:16:37,unknown,1,160x120,30,0,23.2,29.3,20.4,19.4,23.4,3032.2,55.02,1800.0,throttled=0x0,0.0,0.0,182
2026-07-07 14:16:38,unknown,1,160x120,30,0,20.6,21.4,20.2,18.4,21.0,3032.2,55.99,1800.0,throttled=0x0,0.2,0.0,183
2026-07-07 14:16:39,unknown,1,160x120,30,0,19.7,18.8,17.0,21.7,21.7,3032.0,55.02,1800.0,throttled=0x0,0.0,0.0,184
2026-07-07 14:16:40,unknown,1,160x120,30,0,25.4,26.7,24.0,29.4,22.3,3032.2,55.02,1800.0,throttled=0x0,0.7,0.0,185
2026-07-07 14:16:41,unknown,1,160x120,30,0,27.1,32.4,21.7,30.8,23.1,3032.6,56.48,1800.0,throttled=0x0,0.0,0.0,186
2026-07-07 14:16:42,unknown,1,160x120,30,0,23.1,33.9,17.3,21.0,17.8,3032.1,55.99,1800.0,throttled=0x0,0.0,0.0,187
2026-07-07 14:16:44,unknown,1,160x120,30,0,29.7,45.7,22.1,21.9,27.2,3032.5,55.5,1800.0,throttled=0x0,0.0,0.0,188
2026-07-07 14:16:45,unknown,1,160x120,30,0,22.5,27.8,18.1,19.0,25.0,3032.5,55.99,1800.0,throttled=0x0,0.0,0.0,189
2026-07-07 14:16:46,unknown,1,160x120,30,0,26.1,25.5,30.4,21.6,25.0,3033.4,55.02,1800.0,throttled=0x0,0.0,0.0,190
2026-07-07 14:16:47,unknown,1,160x120,30,0,27.4,35.0,21.2,28.0,28.2,3033.9,55.99,1800.0,throttled=0x0,0.0,0.0,191
2026-07-07 14:16:48,unknown,1,160x120,30,0,24.9,29.3,22.6,25.2,21.9,3033.9,56.48,1800.0,throttled=0x0,0.0,0.0,192
2026-07-07 14:16:49,unknown,1,160x120,30,0,23.5,26.8,23.5,19.4,23.6,3034.4,55.99,1800.0,throttled=0x0,0.0,0.0,193
2026-07-07 14:16:50,unknown,1,160x120,30,0,19.5,20.8,22.8,18.1,17.8,3034.8,55.5,1800.0,throttled=0x0,0.0,0.0,194
2026-07-07 14:16:51,unknown,1,160x120,30,0,26.0,29.6,24.8,17.0,31.8,3037.7,54.53,1200.0,throttled=0x0,0.0,0.0,195
2026-07-07 14:16:52,unknown,1,160x120,30,0,22.2,26.9,21.3,17.4,23.6,3037.7,55.5,1800.0,throttled=0x0,0.0,0.0,196
2026-07-07 14:16:53,unknown,1,160x120,30,0,22.3,26.5,24.0,21.2,18.4,3037.7,56.48,1800.0,throttled=0x0,0.0,0.0,197
2026-07-07 14:16:54,unknown,1,160x120,30,0,22.2,25.7,22.4,21.0,18.8,3038.0,55.5,1800.0,throttled=0x0,0.0,0.0,198
2026-07-07 14:16:55,unknown,1,160x120,30,0,21.3,30.5,21.7,16.3,17.3,3038.2,55.99,1800.0,throttled=0x0,0.0,0.0,199
2026-07-07 14:16:56,unknown,1,160x120,30,0,28.7,30.8,28.4,21.2,34.3,3041.2,55.99,1800.0,throttled=0x0,0.0,0.0,200
2026-07-07 14:16:57,unknown,1,160x120,30,0,22.5,26.8,25.0,16.0,20.6,3040.9,55.02,1800.0,throttled=0x0,0.0,0.0,201
2026-07-07 14:16:58,unknown,1,160x120,30,0,21.4,25.7,21.7,18.8,20.4,3040.9,56.97,1800.0,throttled=0x0,0.2,0.0,202
2026-07-07 14:16:59,unknown,1,160x120,30,0,18.5,23.5,15.0,19.4,15.7,3040.9,55.02,1800.0,throttled=0x0,0.0,0.0,203
2026-07-07 14:17:00,unknown,1,160x120,30,0,25.5,27.2,23.2,23.1,26.2,3043.9,56.48,1800.0,throttled=0x0,0.0,0.0,204
2026-07-07 14:17:02,unknown,1,160x120,30,0,24.8,28.9,29.5,23.1,20.4,3043.5,56.48,1800.0,throttled=0x0,0.0,0.0,205
2026-07-07 14:17:03,unknown,1,160x120,30,0,21.9,20.6,25.7,20.6,20.4,3042.3,55.5,1800.0,throttled=0x0,0.0,0.0,206
2026-07-07 14:17:04,unknown,1,160x120,30,0,21.4,22.7,21.7,19.0,23.5,3042.3,55.5,1800.0,throttled=0x0,0.0,0.0,207
2026-07-07 14:17:05,unknown,1,160x120,30,0,23.6,20.7,21.6,27.9,21.7,3041.6,55.5,1800.0,throttled=0x0,0.0,0.0,208
2026-07-07 14:17:06,unknown,1,160x120,30,0,25.0,28.3,27.7,19.8,25.2,3044.0,55.5,1800.0,throttled=0x0,0.0,0.0,209
2026-07-07 14:17:07,unknown,1,160x120,30,0,22.5,23.5,20.0,24.8,19.8,3044.2,55.5,1800.0,throttled=0x0,0.0,0.0,210
2026-07-07 14:17:08,unknown,1,160x120,30,0,20.8,27.3,17.0,20.2,21.4,3044.0,55.5,1800.0,throttled=0x0,0.0,0.0,211
2026-07-07 14:17:09,unknown,1,160x120,30,0,24.4,29.8,25.9,17.6,23.4,3043.0,55.5,1800.0,throttled=0x0,0.0,0.0,212
2026-07-07 14:17:10,unknown,1,160x120,30,0,19.7,26.0,18.1,18.4,16.3,3042.8,55.99,1800.0,throttled=0x0,0.0,0.0,213
2026-07-07 14:17:11,unknown,1,160x120,30,0,23.5,32.1,22.5,22.9,14.9,3043.7,55.5,1800.0,throttled=0x0,0.2,0.0,214
2026-07-07 14:17:12,unknown,1,160x120,30,0,26.9,44.6,19.4,19.2,20.6,3043.8,55.99,1800.0,throttled=0x0,0.0,0.0,215
